String ID,en-us,en-us-sms,en-us-voice,ko-kr,ko-kr-sms,ko-kr-voice,vi-vn,vi-vn-sms,vi-vn-voice,zh-cn,zh-cn-sms,zh-cn-voice,es-us,es-us-sms,es-us-voice,de-de,de-de-sms,de-de-voice,es-es,es-es-sms,es-es-voice,fi-fi,fi-fi-sms,fi-fi-voice,fr-fr,fr-fr-sms,fr-fr-voice,he-il,he-il-sms,he-il-voice,it-it,it-it-sms,it-it-voice,ja-jp,ja-jp-sms,ja-jp-voice,pt-pt,pt-pt-sms,pt-pt-voice,sv-se,sv-se-sms,sv-se-voice,th-th,th-th-sms,th-th-voice
c19.eligibility.question/congregate.az,"Do you live with high-risk conditions in a congregate setting?",,,,,,,,,,,,"¿Vive con condiciones de alto riesgo en un entorno congregado?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/healthcare_worker.az,"Are you a healthcare or healthcare support worker?",,,,,,,,,,,,"¿Es usted un trabajador de asistencia médica o de atención médica?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/long_term_care_resident.az,"Are you a long-term care resident, or do you work in a long-term care facility?",,,,,,,,,,,,"¿Es usted un residente de cuidado a largo plazo, o trabaja en un centro de atención a largo plazo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/ems_worker.az,"Are you an emergency medical services worker?",,,,,,,,,,,,"¿Es usted un trabajador de servicios médicos de emergencia?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/education_childcare_worker.az,"Are you an education or child-care worker?",,,,,,,,,,,,"¿Es usted un trabajador de educación o cuidado de niños?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/proctective_services_worker.az,"Are you a protective services worker?",,,,,,,,,,,,"¿Es usted un trabajador de servicios de protección?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/info.az.maricopa,"Maricopa County COVID-19 Site",,,,,,,,,,,,"Sitio COVID-19 del Condado de Maricopa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/registration.az,"Arizona DHS Vaccine Patient Portal",,,,,,,,,,,,"Portal para pacientes con vacunas del DHS de Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/info.az.apachenavajo,"Apache and Navajo County COVID-19 Info",,,,,,,,,,,,"Información covid-19 del condado de Apache y Navajo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/info.az.cochise,"Cochise County COVID-19 Vaccination Info",,,,,,,,,,,,"Cochise Condado COVID-19 Información de Vacunación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/info.az.cococino,"Coconino County COVID-19 Vaccine Info",,,,,,,,,,,,"Información sobre vacunas COVID-19 del Condado de Coconino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/info.az.gila,"Gila County COVID-19 Info",,,,,,,,,,,,"Información covid-19 del condado de Gila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/info.az.graham,"Graham County COVID-19 Vaccination Info",,,,,,,,,,,,"Información de vacunación covid-19 del condado de Graham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/registration.az.graham,"Graham County COVID-19 Vaccination Registration",,,,,,,,,,,,"Registro de Vacunación COVID-19 del Condado de Graham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/info.az.greenlee,"Greenlee County Health & County Services",,,,,,,,,,,,"Servicios de Salud y Condado del Condado de Greenlee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/registration.az.greenlee,"Greenlee County Vaccination Registration",,,,,,,,,,,,"Registro de Vacunación del Condado de Greenlee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/info.az.lapaz,"La Paz County Health Department",,,,,,,,,,,,"Departamento de Salud del Condado de La Paz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/hotline.az.lapaz.text,"La Paz County Vaccination Hotline",,,,,,,,,,,,"Línea directa de vacunación del condado de La Paz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/hotline.az.lapaz.description,"928-503-5763 & 928-502-0773",,,,,,,,,,,,"928-503-5763 & 928-502-0773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/info.az.mojave,"Mojave County COVID-19 Vaccine Statu",,,,,,,,,,,,"Estatua vacunal COVID-19 del Condado de Mojave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/providers.az.mojave,"Mojave County Vaccination Providers",,,,,,,,,,,,"Proveedores de vacunación del condado de Mojave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/info.az.pima,"Pima County COVID-19 Vaccine Info & Distribution",,,,,,,,,,,,"Información de la vacuna COVID-19 del Condado de Pima",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.links/registration.az.pima,"Pima County COVID-19 Vaccination Registration",,,,,,,,,,,,"Registro de Vacunación COVID-19 del Condado de Pima",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
