String ID,en-us,en-us-sms,en-us-voice,ko-kr,ko-kr-sms,ko-kr-voice,vi-vn,vi-vn-sms,vi-vn-voice,zh-cn,zh-cn-sms,zh-cn-voice,es-us,es-us-sms,es-us-voice,de-de,de-de-sms,de-de-voice,es-es,es-es-sms,es-es-voice,fi-fi,fi-fi-sms,fi-fi-voice,fr-fr,fr-fr-sms,fr-fr-voice,he-il,he-il-sms,he-il-voice,it-it,it-it-sms,it-it-voice,ja-jp,ja-jp-sms,ja-jp-voice,pt-pt,pt-pt-sms,pt-pt-voice,sv-se,sv-se-sms,sv-se-voice,th-th,th-th-sms,th-th-voice
c19.link/scheduling.phone.nj,"1-855-568-0545",,,,,,,,,,,,"1-855-568-0545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.nj,"Vaccine Appointment Support",,,,,,,,,,,,"Apoyo a la cita con vacunas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.are_you_a_transportation.nj.next_phase,"Public and local transportation workers, including bus, taxi, rideshare, and airport employees; NJ TRANSIT workers; and Motor Vehicle Commission staff;",,,,,,,,,,,,"Trabajadores del transporte público y local, incluidos los empleados de autobuses, taxis, viajes compartidos y aeropuertos; Trabajadores de NJ TRANSIT; y personal de la Comisión de Vehículos Motorizados;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/housing.are.nj.next_phase,"Individuals experiencing homelessness and those living in shelters, including domestic violence shelters.",,,,,,,,,,,,"Personas que sufren desamparo y que viven en refugios, incluidos refugios de violencia doméstica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/healthcare_worker.nj.current,"This includes paid and unpaid healthcare workers",,,,,,,,,,,,"Esto incluye a los trabajadores sanitarios remunerados y no remunerados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/long_term_care_resident.are.nj.current,"All residents and workers of long-term care and high-risk congregate care facilities, including:
- Skilled nursing facilities
- Veterans homes
- Assisted living facilities, continuing care retirement communities, and personal care homes
- Group homes like residential care homes, adult family homes, adult foster homes, and intellectual and developmental disabilities group homes
- HUD 202 Supportive Housing for the Elderly Program residences
- Institutional settings like psychiatric hospitals, correctional institutions, county jails, and juvenile detention facilities (for eligible minors, e.g. 16+ years of age may be eligible for Pfizer vaccine under the emergency use authorization)
- Other vulnerable, congregate, long-term settings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.are.nj.current,"This includes sworn law enforcement and fire professionals
",,,,,,,,,,,,"Esto incluye a las fuerzas del orden jurados y a los profesionales de incendios
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.are_you.nj.current,"This includes Pre-K to 12 educators and staff and childcare workers in licensed and registered settings",,,,,,,,,,,,"Esto incluye pre-K a 12 educadores y personal y trabajadores de cuidado infantil en entornos con licencia y registrados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/health.nj.current,"Individuals aged 65 and older, and individuals ages 16-64 with medical conditions, as defined by the Centers for Disease Control and Prevention, that increase or might increase the risk of severe illness from the virus. These conditions include:

Asthma (moderate to severe)
Cancer 
Cerebrovascular Disease 
Chronic kidney disease
COPD (chronic obstructive pulmonary disease)
Cystic Fibrosis
Down Syndrome
Heart conditions, such as heart failure, coronary artery disease, or cardiomyopathies
Hypertension or High Blood Pressure
Immunocompromised state (weakened immune system)
Liver Disease
Neurologic conditions (e.g. dementia)
Obesity (body mass index [BMI] of 30 kg/m2 or higher but < 40 kg/m2)
Severe Obesity (BMI ≥ 40 kg/m2)
Overweight (BMI ≥ 25 kg/m2)
Pregnancy
Pulmonary Fibrosis (damaged or scarred lung tissues)
Sickle cell disease
Smoking/nicotine addiction
Thalassemia (type of blood disorder)
Type 1 and Type 2 diabetes mellitus
Note: Individuals who are pregnant and those in an immunocompromised state (weakened immune system)are also eligible but should follow CDC guidance and first discuss vaccination with their medical provider before receiving the vaccine.",,,,,,,,,,,,"Individuos de 65 años o más, y individuos de 16 a 64 años con condiciones médicas, según lo definido por los Centros para el Control y la Prevención de Enfermedades, que aumentan o pueden aumentar el riesgo de enfermedad grave por el virus. Estas condiciones incluyen:

Asma (de moderada a grave)
Cáncer 
Enfermedad cerebrovascular 
Enfermedad renal crónica
EPOC (enfermedad pulmonar obstructiva crónica)
Fibrosis Quística
Síndrome de Down
Afecciones cardíacas, como insuficiencia cardíaca, enfermedad de las arterias coronarias o cardiomiopatías
Hipertensión o presión arterial alta
Estado inmunodeprimido (sistema inmunitario debilitado)
Enfermedad hepática
Afecciones neurológicas (p. ej., demencia)
Obesidad (índice de masa corporal [IMC] de 30 kg/m2 o superior pero < 40 kg/m2) Obesidad grave (IMC ≥ 40 kg/m2)
Sobrepeso (IMC ≥ 25 kg/m2)
Embarazo
Fibrosis pulmonar (tejidos pulmonares dañados o marcados)
Enfermedad de células falciformes
Adicción al tabaquismo/nicotina
Talasemia (tipo de trastorno sanguíneo)
Diabetes mellitus tipo 1 y tipo 2
Nota: Las personas que están embarazadas y las que están en un estado inmunodeprimido (sistema inmunitario debilitado) también son elegibles, pero deben seguir las directrices de los CDC y primero discutir la vacunación con su proveedor médico antes de recibir la vacuna.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.nj.current,"This includes:
- Childcare workers in licensed and registered settings
- Clergy
- Communications, IT, and media workers
- Educators and staff, including pre-K to 12 and higher education
- Eldercare and support workers
- Elections personnel
- First responders
- Healthcare workers
- Hospitality workers
- Individuals experiencing homelessness and those living in shelters
- Judicial system workers
- Laundry services workers
- Librarians and library support staff
- Long-term care and high-risk congregate care facility residents and staff
- Medical supply chain employees
- Members of tribal communities
- Migrant farm workers
- Postal and shipping service workers
- Public safety workers
- Real estate, building, and home services workers
- Retail financial institution workers
- Sanitation workers
- Social service workers and support staff
- Transportation workers
- Utilities workers
- Warehousing and logistics workers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
