String ID,en-us,en-us-sms,en-us-voice,ko-kr,ko-kr-sms,ko-kr-voice,vi-vn,vi-vn-sms,vi-vn-voice,zh-cn,zh-cn-sms,zh-cn-voice,es-us,es-us-sms,es-us-voice,de-de,de-de-sms,de-de-voice,es-es,es-es-sms,es-es-voice,fi-fi,fi-fi-sms,fi-fi-voice,fr-fr,fr-fr-sms,fr-fr-voice,he-il,he-il-sms,he-il-voice,it-it,it-it-sms,it-it-voice,ja-jp,ja-jp-sms,ja-jp-voice,pt-pt,pt-pt-sms,pt-pt-voice,sv-se,sv-se-sms,sv-se-voice,th-th,th-th-sms,th-th-voice
c19.eligibility.question/essential_worker.1a.md.judiciary_or_nursing_home_staff,"Are you frontline judiciary staff or long-term care facility staff within a nursing home?",,,,,,,,,,,,"¿Es usted personal judicial de primera línea o personal de centros de atención a largo plazo dentro de un asilo de ancianos?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/essential_worker.1b.md,"Are you a K-12 personnel, continuity of government staff, or developmentally disabled?",,,,,,,,,,,,"¿Es usted un personal K-12, continuidad del personal del gobierno o discapacitados del desarrollo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.question/congregate.md,"Do you live in an assisted living facility, special needs group home, or are a high-risk inmate?",,,,,,,,,,,,"¿Vives en un centro de vida asistida, un hogar en grupo con necesidades especiales o eres un recluso de alto riesgo?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.md,"(410) 767-6500",,,,,,,,,,,,"(410) 767-6500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.md,"For updates on appointments for mass vaccination sites, text 'MdReady' to 898-211.",,,,,,,,,,,,"Para actualizaciones sobre las citas para los sitios de vacunación masiva, envíe un mensaje de texto a 'MdReady' al 898-211.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/congregate.do.md.1c,"This includes assisted living, independent living, behavioral health and developmentally disabled group homes, and other congregate facilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.md.1c,"This includes: 
All licensed, registered and certified health care providers
Front line hospital staff
Nursing home residents and staff
Individuals with intellectual and developmental disabilities
Assisted living, independent living, behavioral health and developmentally disabled group homes, and other congregate facilities
Law enforcement and firefighters, EMS
Education staff, including K-12 teachers, support staff and daycare providers
Correctional health care staff and officers
Public safety workers not covered in Phase 1A
Health care workers not covered in Phase 1A, including but not limited to lab services, public health, vaccine manufacturing and other health care professions
Front line judiciary staff
Continuity of government
Food/agriculture production, critical manufacturing, U.S. Postal Service, public mass transit, grocery store employees
Veterinarians and support staff
Clergy and other essential support for houses of worship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/health.md.1c,"Individuals who are currently receiving hospital-based treatment, including in hospital outpatient centers, AND diagnosed with at least one of the following conditions:
Cancer patients who are currently in active treatment
End stage renal disease patients requiring hemodialysis
Chronic Obstructive Pulmonary Disease (COPD)
Solid organ transplant recipients
Sickle cell disease patients
Diabetic patients (Type 1 and Type 2)

Individuals who are diagnosed with these medical conditions but are not currently receiving hospital-based treatment, including in hospital outpatient centers, will be eligible to receive the vaccine in Maryland's Phase 2 COVID-19 vaccine distribution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/congregate.do.md.2a,"This includes assisted living, independent living, behavioral health and developmentally disabled group homes, and other congregate facilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.md.2a,"This includes: 
All licensed, registered and certified health care providers
Front line hospital staff
Nursing home residents and staff
Individuals with intellectual and developmental disabilities
Assisted living, independent living, behavioral health and developmentally disabled group homes, and other congregate facilities
Law enforcement and firefighters, EMS
Education staff, including K-12 teachers, support staff and daycare providers
Correctional health care staff and officers
Public safety workers not covered in Phase 1A
Health care workers not covered in Phase 1A, including but not limited to lab services, public health, vaccine manufacturing and other health care professions
Front line judiciary staff
Continuity of government
Food/agriculture production, critical manufacturing, U.S. Postal Service, public mass transit, grocery store employees
Veterinarians and support staff
Clergy and other essential support for houses of worship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
