String ID,en-us,en-us-sms,en-us-voice,ko-kr,ko-kr-sms,ko-kr-voice,vi-vn,vi-vn-sms,vi-vn-voice,zh-cn,zh-cn-sms,zh-cn-voice,es-us,es-us-sms,es-us-voice,de-de,de-de-sms,de-de-voice,es-es,es-es-sms,es-es-voice,fi-fi,fi-fi-sms,fi-fi-voice,fr-fr,fr-fr-sms,fr-fr-voice,he-il,he-il-sms,he-il-voice,it-it,it-it-sms,it-it-voice,ja-jp,ja-jp-sms,ja-jp-voice,pt-pt,pt-pt-sms,pt-pt-voice,sv-se,sv-se-sms,sv-se-voice,th-th,th-th-sms,th-th-voice
c19.link/scheduling.phone.wi,"844-684-1064",,,,,,,,,,,,"844-684-1064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.wi,"Covid-19 Vaccine Hotline",,,,,,,,,,,,"Línea directa de vacunas Covid-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.door,"1-844-684-1064",,,,,,,,,,,,"1-844-684-1064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.door,"COVID-19 Vaccine Hotline",,,,,,,,,,,,"Línea directa de vacunas COVID-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.calumet,"(920) 849-1466",,,,,,,,,,,,"(920) 849-1466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.appleton,"920-832-6429",,,,,,,,,,,,"920-832-6429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.kewaunee,"(920) 388-7160",,,,,,,,,,,,"(920) 388-7160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.manitowoc,"920-683-4155",,,,,,,,,,,,"920-683-4155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.manitowoc,"Manitowoc County Health Department",,,,,,,,,,,,"Departamento de Salud del Condado de Manitowoc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.shawanomenominee,"715-526-4818",,,,,,,,,,,,"715-526-4818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.shawanomenominee,"Covid-19 Hotline",,,,,,,,,,,,"Línea directa covid-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.waupaca,"1-844-684-1064",,,,,,,,,,,,"1-844-684-1064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.waushara,"1-844-684-1064",,,,,,,,,,,,"1-844-684-1064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.waushara,"Wisconsin Department of Health Services COVID-19 vaccine hotline",,,,,,,,,,,,"Línea directa de vacunas COVID-19 del Departamento de Servicios de Salud de Wisconsin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.winnebago,"920-232-3026",,,,,,,,,,,,"920-232-3026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.winnebago,"Winnebago County Health Department",,,,,,,,,,,,"Departamento de Salud del Condado de Winnebago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.ashland," 715-682-7028",,,,,,,,,,,," 715-682-7028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.bayfield,"(715) 373-3324",,,,,,,,,,,,"(715) 373-3324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.florence,"715-528-4837",,,,,,,,,,,,"715-528-4837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
