String ID,en-us,ko-kr,vi-vn,zh-cn,es-us,de-de,es-es,fi-fi,fr-fr,he-il,it-it,ja-jp,pt-pt,sv-se,th-th
c19.link/scheduling.phone.or,"866-698-6155",,,,"866-698-6155",,,,,,,,,,
c19.link/scheduling.phone.description.or,"Open 6am-7pm daily",,,,"Abierto de 6am-7pm todos los días",,,,,,,,,,
c19.link/scheduling.phone.baker_county,"541-523-8211",,,,"541-523-8211",,,,,,,,,,
c19.link/scheduling.phone.clatsop,"503-325-8500",,,,"503-325-8500",,,,,,,,,,
c19.link/scheduling.phone.or.columbia,"503-397-7247",,,,"503-397-7247",,,,,,,,,,
c19.link/scheduling.phone.or.crook,"541-447-5165",,,,"541-447-5165",,,,,,,,,,
c19.link/scheduling.phone.curry,"541-247-3119",,,,"541-247-3119",,,,,,,,,,
c19.link/scheduling.phone.deschutes,"541-699-5109",,,,"541-699-5109",,,,,,,,,,
c19.link/scheduling.phone.douglas,"541-464-6550",,,,"541-464-6550",,,,,,,,,,
c19.link/scheduling.phone.description.douglas,"8am-5pm 7 days per week",,,,"8am-5pm 7 días a la semana",,,,,,,,,,
c19.link/scheduling.phone.gilliam,"541-506-2600",,,,"541-506-2600",,,,,,,,,,
c19.link/scheduling.phone.grant,"541-575-0429",,,,"541-575-0429",,,,,,,,,,
c19.link/scheduling.phone.harney,"541-573-2271",,,,"541-573-2271",,,,,,,,,,
c19.link/scheduling.phone.hood_river,"541-399-8022",,,,"541-399-8022",,,,,,,,,,
c19.link/scheduling.phone.description.hood_river,"English: 541-399-8022; Spanish: 541-399-8023",,,,"Inglés: 541-399-8022; Español: 541-399-8023",,,,,,,,,,
c19.link/scheduling.phone.jefferson,"541-699-5109",,,,"541-699-5109",,,,,,,,,,
c19.link/scheduling.phone.josephine,"541-789-2813",,,,"541-789-2813",,,,,,,,,,
c19.link/scheduling.phone.description.josephine,"If you are eligible to get a vaccine, please call 541-789-2813, Option 2 from 8 a.m. to 5 p.m., Monday through Friday to schedule an appointment. To speak with a Spanish speaking representative, call 541-789-2813, Option 3 from 9 a.m. to 4 p.m., Monday through Friday.",,,,"Si usted es elegible para recibir una vacuna, llame al 541-789-2813, Opción 2 de 8 a.m. a 5 p.m., de lunes a viernes para programar una cita. Para hablar con un representante de habla hispana, llame al 541-789-2813, opción 3 de 9 a.m. a 4 p.m., de lunes a viernes.",,,,,,,,,,
c19.link/scheduling.phone.klamath,"1-833-606-4370",,,,"1-833-606-4370",,,,,,,,,,
