String ID,en-us,en-us-sms,en-us-voice,ko-kr,ko-kr-sms,ko-kr-voice,vi-vn,vi-vn-sms,vi-vn-voice,zh-cn,zh-cn-sms,zh-cn-voice,es-us,es-us-sms,es-us-voice,de-de,de-de-sms,de-de-voice,es-es,es-es-sms,es-es-voice,fi-fi,fi-fi-sms,fi-fi-voice,fr-fr,fr-fr-sms,fr-fr-voice,he-il,he-il-sms,he-il-voice,it-it,it-it-sms,it-it-voice,ja-jp,ja-jp-sms,ja-jp-voice,pt-pt,pt-pt-sms,pt-pt-voice,sv-se,sv-se-sms,sv-se-voice,th-th,th-th-sms,th-th-voice
c19.link/scheduling.phone.albany,"307-766-8222",,,,,,,,,,,,"307-766-8222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.albany,"Albany County COVID Vaccine Call Center",,,,,,,,,,,,"Centro de Llamadas de Vacunas COVID del Condado de Albany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.bighorn,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.campbell,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.carbon,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.converse,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.wy.crook,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.fremont,"800-438-5795",,,,,,,,,,,,"800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.goshen,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.hot_springs,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.johnson,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.laramie,"307-633-4000",,,,,,,,,,,,"307-633-4000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.wy.lincoln,"307-885-9598",,,,,,,,,,,,"307-885-9598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.natrona,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.niobrara,"800-438-5795",,,,,,,,,,,,"800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.park,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.platte,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.sheridan,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.sublette,"307-367-2157",,,,,,,,,,,,"307-367-2157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.sweetwater,"307-922-5390",,,,,,,,,,,,"307-922-5390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.teton,"307-732-8628",,,,,,,,,,,,"307-732-8628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.uinta,"307-789-9203",,,,,,,,,,,,"307-789-9203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.washakie,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.weston,"1-800-438-5795",,,,,,,,,,,,"1-800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.wy,"800-438-5795",,,,,,,,,,,,"800-438-5795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.wy,"COVID-19 Vaccine Information",,,,,,,,,,,,"Información sobre vacunas COVID-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
