String ID,en-us,en-us-sms,en-us-voice,ko-kr,ko-kr-sms,ko-kr-voice,vi-vn,vi-vn-sms,vi-vn-voice,zh-cn,zh-cn-sms,zh-cn-voice,es-us,es-us-sms,es-us-voice,de-de,de-de-sms,de-de-voice,es-es,es-es-sms,es-es-voice,fi-fi,fi-fi-sms,fi-fi-voice,fr-fr,fr-fr-sms,fr-fr-voice,he-il,he-il-sms,he-il-voice,it-it,it-it-sms,it-it-voice,ja-jp,ja-jp-sms,ja-jp-voice,pt-pt,pt-pt-sms,pt-pt-voice,sv-se,sv-se-sms,sv-se-voice,th-th,th-th-sms,th-th-voice
c19.link/scheduling.phone.ri,"844-930-1779",,,,,,,,,,,,"844-930-1779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.barrington,"(401) 247-1926",,,,,,,,,,,,"(401) 247-1926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.charlestown,"401-218-1968",,,,,,,,,,,,"401-218-1968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.charlestown,"Charlestown EMA",,,,,,,,,,,,"Charlestown EMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.cumberland,"401-335-5888",,,,,,,,,,,,"401-335-5888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.east_providence,"401-533-9812",,,,,,,,,,,,"401-533-9812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.east_providence,"EAST PROVIDENCE COVID-19 VACCINE HOTLINE",,,,,,,,,,,,"LÍNEA DIRECTA DE VACUNAS EAST PROVIDENCE COVID-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.hopkinton,"(401) 388-8476",,,,,,,,,,,,"(401) 388-8476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.hopkinton,"Hopkinton COVID-19 Information Hotline",,,,,,,,,,,,"Línea directa de información hopkinton COVID-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.jamestown,"423-1213 Ext 4328",,,,,,,,,,,,"423-1213 Ext 4328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
