String ID,en-us,ko-kr,vi-vn,zh-cn,es-us,de-de,es-es,fi-fi,fr-fr,he-il,it-it,ja-jp,pt-pt,sv-se,th-th
c19.link/scheduling.phone.nj,"1-855-568-0545",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.nj,"Vaccine Appointment Support",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.are_you_a_transportation.nj.next_phase,"Public and local transportation workers, including bus, taxi, rideshare, and airport employees; NJ TRANSIT workers; and Motor Vehicle Commission staff;",,,,,,,,,,,,,,
c19.eligibility.moreinfo/housing.are.nj.next_phase,"Individuals experiencing homelessness and those living in shelters, including domestic violence shelters.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/healthcare_worker.nj.current,"This includes paid and unpaid healthcare workers",,,,,,,,,,,,,,
c19.eligibility.moreinfo/long_term_care_resident.are.nj.current,"This includes residents and workers of long-term care and high-risk congregate care facilities
",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.are.nj.current,"This includes sworn law enforcement and fire professionals
",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.are_you.nj.current,"This includes Pre-K to 12 educators and staff and childcare workers in licensed and registered settings",,,,,,,,,,,,,,
c19.eligibility.moreinfo/health.nj.current,"Individuals aged 65 and older, and individuals ages 16-64 with medical conditions, as defined by the Centers for Disease Control and Prevention, that increase or might increase the risk of severe illness from the virus. These conditions include:

Asthma (moderate to severe)
Cancer 
Cerebrovascular Disease 
Chronic kidney disease
COPD (chronic obstructive pulmonary disease)
Cystic Fibrosis
Down Syndrome
Heart conditions, such as heart failure, coronary artery disease, or cardiomyopathies
Hypertension or High Blood Pressure
Immunocompromised state (weakened immune system)
Liver Disease
Neurologic conditions (e.g. dementia)
Obesity (body mass index [BMI] of 30 kg/m2 or higher but < 40 kg/m2)
Severe Obesity (BMI >= 40 kg/m2)
Overweight (BMI >= 25 kg/m2)
Pregnancy
Pulmonary Fibrosis (damaged or scarred lung tissues)
Sickle cell disease
Smoking/nicotine addiction
Thalassemia (type of blood disorder)
Type 1 and Type 2 diabetes mellitus
Note: Individuals who are pregnant and those in an immunocompromised state (weakened immune system)are also eligible but should follow CDC guidance and first discuss vaccination with their medical provider before receiving the vaccine.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.nj.current,"This includes:
- Public and local transportation workers, including bus, taxi, rideshare, and airport employees; NJ TRANSIT workers; and Motor Vehicle Commission staff
- Public safety workers who are not sworn law enforcement or fire professionals, including probation officers and fire safety inspectors
- Migrant farm workers;",,,,,,,,,,,,,,
c19.eligibility.moreinfo/housing.are.nj.current,"Individuals experiencing homelessness and those living in shelters, including domestic violence shelters.",,,,,,,,,,,,,,
