String ID,en-us,ko-kr,vi-vn,zh-cn,es-us,de-de,es-es,fi-fi,fr-fr,he-il,it-it,ja-jp,pt-pt,sv-se,th-th
name.usa,"United States of America","아메리카 합중국","United States of America","美國","Estados Unidos de América",,,,,,,,,,
cdc/alabama/state_name,"Alabama","앨라배마","Alabama","阿拉巴馬州","Alabama",,,,,,,,,,
cdc/alaska/state_name,"Alaska","알래스카","Alaska","阿拉斯加州","Alaska",,,,,,,,,,
cdc/american_samoa/state_name,"American Samoa","미국령 사모아","American Samoa","美属萨摩亚","Samoa Estadounidense",,,,,,,,,,
cdc/arizona/state_name,"Arizona","애리조나","Arizona","亚利桑那州","Arizona",,,,,,,,,,
cdc/arkansas/state_name,"Arkansas","아칸소","Arkansas","阿肯色州","Arkansas",,,,,,,,,,
cdc/california/state_name,"California","캘리포니아","California","加利福尼亞州","California",,,,,,,,,,
cdc/colorado/state_name,"Colorado","콜로라도","Colorado","科罗拉多州","Colorado",,,,,,,,,,
cdc/connecticut/state_name,"Connecticut","코네티컷","Connecticut","康涅狄格州","Connecticut",,,,,,,,,,
cdc/delaware/state_name,"Delaware","델라웨어","Delaware","特拉华州","Delaware",,,,,,,,,,
cdc/district_of_columbia/state_name,"District of Columbia","워싱턴 DC","District Of Columbia","哥伦比亚特区","Distrito de Columbia",,,,,,,,,,
cdc/federated_states_of_micronesia/state_name,"Federated States Of Micronesia","미크로네시아 연방","Federated States Of Micronesia","密克罗尼西亚联邦","Estados Federados de Micronesia",,,,,,,,,,
cdc/florida/state_name,"Florida","플로리다","Florida","佛罗里达州","Florida",,,,,,,,,,
cdc/georgia/state_name,"Georgia","그루지야","Georgia","乔治亚州","Georgia",,,,,,,,,,
cdc/guam/state_name,"Guam","괌","Guam","关岛","Guam",,,,,,,,,,
cdc/hawaii/state_name,"Hawaii","하와이","Hawaii","夏威夷州","Hawái",,,,,,,,,,
cdc/idaho/state_name,"Idaho","아이다호","Idaho","爱达荷州","Idaho",,,,,,,,,,
cdc/illinois/state_name,"Illinois","일리노이","Illinois","伊利诺斯州","Illinois",,,,,,,,,,
cdc/indiana/state_name,"Indiana","인디애나","Indiana","印第安纳州","Indiana",,,,,,,,,,
cdc/iowa/state_name,"Iowa","아이오와","Iowa","爱荷华州","Iowa",,,,,,,,,,
cdc/kansas/state_name,"Kansas","캔자스","Kansas","堪萨斯州","Kansas",,,,,,,,,,
cdc/kentucky/state_name,"Kentucky","켄터키","Kentucky","肯塔基州","Kentucky",,,,,,,,,,
cdc/louisiana/state_name,"Louisiana","루이지애나","Louisiana","路易斯安那州","Luisiana",,,,,,,,,,
cdc/maine/state_name,"Maine","메인","Maine","缅因州","Maine",,,,,,,,,,
cdc/marshall_islands/state_name,"Marshall Islands","마셜 제도","Marshall Islands","马绍尔群岛","Islas Marshall",,,,,,,,,,
cdc/maryland/state_name,"Maryland","메릴랜드","Maryland","马里兰州","Maryland",,,,,,,,,,
cdc/massachusetts/state_name,"Massachusetts","매사추세츠","Massachusetts","马萨诸塞州","Massachusetts",,,,,,,,,,
cdc/michigan/state_name,"Michigan","미시간","Michigan","密歇根州","Michigan",,,,,,,,,,
cdc/minnesota/state_name,"Minnesota","미네소타","Minnesota","明尼苏达州","Minnesota",,,,,,,,,,
cdc/mississippi/state_name,"Mississippi","미시시피","Mississippi","密西西比州","Misisipi",,,,,,,,,,
cdc/missouri/state_name,"Missouri","미주리","Missouri","密苏里州","Misuri",,,,,,,,,,
cdc/montana/state_name,"Montana","몬태나","Montana","蒙大纳州","Montana",,,,,,,,,,
cdc/nebraska/state_name,"Nebraska","네브라스카","Nebraska","内布拉斯加州","Nebraska",,,,,,,,,,
cdc/nevada/state_name,"Nevada","네바다","Nevada","内华达州","Nevada",,,,,,,,,,
cdc/new_hampshire/state_name,"New Hampshire","뉴햄프셔","New Hampshire","新罕布什尔州","Nuevo Hampshire",,,,,,,,,,
cdc/new_jersey/state_name,"New Jersey","뉴저지","New Jersey","新泽西州","Nueva Jersey",,,,,,,,,,
cdc/new_mexico/state_name,"New Mexico","뉴멕시코","New Mexico","新墨西哥州","Nuevo México",,,,,,,,,,
cdc/new_york/state_name,"New York","뉴욕","New York","纽约州","Nueva York",,,,,,,,,,
cdc/north_carolina/state_name,"North Carolina","노스캐롤라이나","North Carolina","北卡罗来纳州","Carolina del Norte",,,,,,,,,,
cdc/north_dakota/state_name,"North Dakota","노스다코타","North Dakota","北达科他州","Dakota del Norte",,,,,,,,,,
cdc/northern_mariana_islands/state_name,"Northern Mariana Islands","북마리아나 제도","Northern Mariana Islands","北马里亚纳群岛","Islas Marianas del Norte",,,,,,,,,,
cdc/ohio/state_name,"Ohio","오하이오","Ohio","俄亥俄州","Ohio",,,,,,,,,,
cdc/oklahoma/state_name,"Oklahoma","오클라호마","Oklahoma","俄克拉荷马州","Oklahoma",,,,,,,,,,
cdc/oregon/state_name,"Oregon","오리건","Oregon","俄勒冈州","Oregón",,,,,,,,,,
cdc/palau/state_name,"Palau","팔라우","Palau","帕劳","Palaos",,,,,,,,,,
cdc/pennsylvania/state_name,"Pennsylvania","펜실베이니아","Pennsylvania","宾夕法尼亚州","Pensilvania",,,,,,,,,,
cdc/please_select_a_location/state_name,"Please select a location","위치를 선택하십시오.","Vui lòng chọn một vị trí","请选择一个位置","Seleccione una ubicación",,,,,,,,,,
cdc/puerto_rico/state_name,"Puerto Rico","푸에르토리코","Puerto Rico","波多黎各","Puerto Rico",,,,,,,,,,
cdc/rhode_island/state_name,"Rhode Island","로드아일랜드","Rhode Island","罗得岛","Rhode Island",,,,,,,,,,
cdc/south_carolina/state_name,"South Carolina","사우스캐롤라이나","South Carolina","南卡罗来纳州","Carolina del Sur",,,,,,,,,,
cdc/south_dakota/state_name,"South Dakota","사우스다코타","South Dakota","南达科他州","Dakota del Sur",,,,,,,,,,
cdc/tennessee/state_name,"Tennessee","테네시","Tennessee","田纳西州","Tennessee",,,,,,,,,,
cdc/texas/state_name,"Texas","텍사스","Texas","德克萨斯州","Texas",,,,,,,,,,
cdc/utah/state_name,"Utah","유타","Utah","犹他州","Utah",,,,,,,,,,
cdc/vermont/state_name,"Vermont","버몬트","Vermont","佛蒙特州","Vermont",,,,,,,,,,
cdc/us_virgin_islands/state_name,"Virgin Islands","버진아일랜드","Virgin Islands","维尔京群岛","Islas Vírgenes",,,,,,,,,,
cdc/virginia/state_name,"Virginia","버지니아","Virginia","弗吉尼亚州","Virginia",,,,,,,,,,
cdc/washington/state_name,"Washington","워싱턴","Washington","华盛顿州","Washington",,,,,,,,,,
cdc/west_virginia/state_name,"West Virginia","웨스트버지니아","West Virginia","西佛吉尼亚州","Virginia Occidental",,,,,,,,,,
cdc/wisconsin/state_name,"Wisconsin","위스콘신","Wisconsin","威斯康星州","Wisconsin",,,,,,,,,,
cdc/wyoming/state_name,"Wyoming","와이오밍","Wyoming","怀俄明州","Wyoming",,,,,,,,,,
