String ID,en-us,ko-kr,vi-vn,zh-cn,es-us,de-de,es-es,fi-fi,fr-fr,he-il,it-it,ja-jp,pt-pt,sv-se,th-th
CDC/South_Dakota/state_link,South Dakota Department of Health,사우스다코타 보건부,Sở Y tế Nam Dakota,南达科他州卫生部,Departamento de Salud de Dakota del Sur,,,,,,,,,,
CDC/Ohio/state_link,Ohio Department of Health,오하이오 보건부,Sở Y tế Ohio,俄亥俄州卫生部,Departamento de Salud de Ohio,,,,,,,,,,
CDC/Alaska/state_link,Alaska Department of Health and Social Services,알래스카 보건 사회 복지부,Sở Y tế và Dịch vụ Xã hội Alaska,阿拉斯加州卫生与社会服务部,Departamento de Salud y Servicios Sociales de Alaska,,,,,,,,,,
CDC/Maryland/state_link,Maryland Department of Health ,메릴랜드 보건부 ,Sở Y tế Maryland ,马里兰州卫生部 ,Departamento de Salud de Maryland,,,,,,,,,,
CDC/Massachusetts/state_link,Massachusetts Department of Public Health ,매사추세츠 공중보건부 ,Sở Y tế Công cộng Massachusetts ,马萨诸塞州公共卫生部 ,Departamento de Salud Pública de Massachusetts,,,,,,,,,,
CDC/Idaho/state_link,Idaho Department of Health and Welfare,아이다호 보건복지부,Sở Y tế và Phúc lợi Idaho,爱达荷州卫生与福利部,Departamento de Salud y Bienestar de Idaho,,,,,,,,,,
CDC/New_York/state_link,New York State Department of Health,뉴욕주 보건부,Sở Y tế Tiểu bang New York,纽约州卫生部,Departamento de Salud del Estado de Nueva York,,,,,,,,,,
CDC/New_Jersey/state_link,New Jersey Department of Health,뉴저지 보건부,Sở Y tế New Jersey,新泽西州卫生部,Departamento de Salud de Nueva Jersey,,,,,,,,,,
CDC/Indiana/state_link,Indiana State Department of Health,인디애나주 보건부,Sở Y tế Tiểu bang Indiana,印第安纳州卫生部,Departamento de Salud del Estado de Indiana,,,,,,,,,,
CDC/Please_select_a_location/state_link,null,null,null,null,null,,,,,,,,,,
CDC/Delaware/state_link,Delaware Division of Public Health ,델라웨어 공중보건부 ,Cục Y tế Công cộng Delaware ,特拉华州公共卫生部 ,División de Salud Pública de Delaware,,,,,,,,,,
CDC/Vermont/state_link,Vermont Department of Health,버몬트 보건부,Sở Y tế Vermont,佛蒙特州卫生部,Departamento de Salud de Vermont,,,,,,,,,,
CDC/Pennsylvania/state_link,Pennsylvania Department of Health,펜실베니아 보건부,Sở Y tế Pennsylvania,宾夕法尼亚州卫生部,Departamento de Salud de Pensilvania,,,,,,,,,,
CDC/Montana/state_link,Montana Department of Public Health and Human Services,몬태나 보건복지부,Sở Y tế Công cộng và Dịch vụ Nhân sinh Montana,蒙大纳州公共卫生与公共服务部,Departamento de Salud Pública y Servicios Humanos de Montana,,,,,,,,,,
CDC/Missouri/state_link,Missouri Department of Health and Senior Services,미주리 보건노인복지부,Sở Y tế và Dịch vụ cho Người cao tuổi Missouri,密苏里州卫生与老年服务部,Departamento de Salud y Servicios para Adultos Mayores de Missouri,,,,,,,,,,
CDC/Marshall_Islands/state_link,Republic of the Marshall Islands Ministry of Health and Human Services,마셜 제도 공화국 보건복지부,Bộ Y tế và Dịch vụ Nhân sinh Cộng hòa Quần đảo Marshall,马绍尔群岛共和国卫生与公共服务部,Ministerio de Salud y Servicios Humanos de la República de las Islas Marshall,,,,,,,,,,
CDC/Northern_Mariana_Islands/state_link,"Commonwealth of the Northern Mariana Islands, Commonwealth Healthcare Corporation",북마리아나 제도 연방 보건의료 공단,"Khối thịnh vượng Quần đảo Bắc Mariana, Cơ quan Y tế Khối thịnh vượng",北马里亚纳群岛自由联邦的联邦医疗保健公司,"Commonwealth de las Islas Marianas del Norte, Commonwealth Healthcare Corporation",,,,,,,,,,
CDC/Rhode_Island/state_link,Rhode Island Department of Health,로드아일랜드 보건부,Sở Y tế Đảo Rhode,罗得岛州卫生部,Departamento de Salud de Rhode Island,,,,,,,,,,
CDC/Virgin_Islands/state_link,US Virgin Islands Department of Health,미국령 버진아일랜드 보건부,Sở Y tế Quần đảo Virgin thuộc Hoa Kỳ,美属维尔京群岛卫生部,Departamento de Salud de las Islas Vírgenes de los EE. UU.,,,,,,,,,,
CDC/New_Hampshire/state_link,New Hampshire Department of Health and Human Services,뉴햄프셔 보건복지부,Sở Y tế và Dịch vụ Nhân sinh New Hampshire,新罕布什尔州卫生与公共服务部,Departamento de Salud y Servicios Humanos de Nuevo Hampshire,,,,,,,,,,
CDC/Wisconsin/state_link,Wisconsin Department of Health Services,위스콘신 보건부,Sở Y tế Wisconsin,威斯康星州卫生服务部,Departamento de Servicios de Salud de Wisconsin,,,,,,,,,,
CDC/Kansas/state_link,Kansas Department of Health and Environment,캔자스 공중보건환경부,Sở Y tế và Môi trường Kansas,堪萨斯州卫生与环境部,Departamento de Salud y Medio Ambiente de Kansas,,,,,,,,,,
CDC/Federated_States_Of_Micronesia/state_link,"Federated States of Micronesia National Government, Department of Health and Social Affairs","미크로네시아 연방 중앙 정부, 보건사회부","Bộ Y tế và Xã hội, Chính phủ Liên bang Micronesia",密克罗尼西亚联邦国民政府卫生与社会事务部,"Estados Federados del Gobierno Nacional de Micronesia, Departamento de Salud y Asuntos Sociales",,,,,,,,,,
CDC/Kentucky/state_link,Kentucky Department for Public Health,켄터키 공중보건부,Sở Y tế Công cộng Kentucky,肯塔基州公共卫生部,Departamento de Salud Pública de Kentucky,,,,,,,,,,
CDC/South_Carolina/state_link,South Carolina Department of Health and Environmental Control,사우스캐롤라이나 보건환경관리과,Sở Y tế và Kiểm soát Môi trường Nam Carolina,南卡罗来纳州卫生与环境控制部,Departamento de Salud y Control Ambiental de Carolina del Sur,,,,,,,,,,
CDC/Minnesota/state_link,Minnesota Department of Health,미네소타 보건부,Sở Y tế Minnesota,明尼苏达州卫生部,Departamento de Salud de Minnesota,,,,,,,,,,
CDC/Nevada/state_link,Nevada Division of Public and Behavioral Health,네바다 공중보건 및 행동건강부,Cục Y tế Công cộng và Sức khỏe Hành vi Nevada,内华达州公共与行为健康部,División de Salud Pública y del Comportamiento de Nevada,,,,,,,,,,
CDC/Illinois_–_Chicago/state_link,Chicago Department of Public Health,시카고 공중보건부,Sở Y tế Công cộng Chicago,芝加哥公共卫生部,Departamento de Salud Pública de Chicago,,,,,,,,,,
CDC/Arkansas/state_link,Arkansas Department of Health,아칸소 보건부,Sở Y tế Arkansas,阿肯色州卫生部,Departamento de Salud de Arkansas,,,,,,,,,,
CDC/Puerto_Rico/state_link,"Puerto Rico Department of Health (Departamento de Salud, Gobierno de Puerto Rico)  (en español)","푸에르토리코 보건부(Departamento de Salud, Gobierno de Puerto Rico) (en español)","Sở Y tế Puerto Rico (Departamento de Salud, Gobierno de Puerto Rico) (en español)","波多黎各卫生部 (Departamento de Salud, Gobierno de Puerto Rico) (en español)","Departamento de Salud de Puerto Rico (Departamento de Salud, Gobierno de Puerto Rico) (en español)",,,,,,,,,,
CDC/Louisiana/state_link,Louisiana Department of Health ,루이지애나 보건부 ,Sở Y tế Louisiana ,路易斯安那州卫生部 ,Departamento de Salud de Luisiana,,,,,,,,,,
CDC/North_Carolina/state_link,North Carolina Department of Health and Human Services,노스캐롤라이나 보건복지부,Sở Y tế Công cộng và Dịch vụ Nhân sinh Bắc Carolina,北卡罗来纳州卫生与公共服务部,Departamento de Salud y Servicios Humanos de Carolina del Norte,,,,,,,,,,
CDC/Maine/state_link,Maine Department of Health and Human Services,메인 보건복지부,Sở Y tế và Dịch vụ Nhân sinh Maine,缅因州卫生与公共服务部,Departamento de Salud y Servicios Humanos de Maine,,,,,,,,,,
CDC/California/state_link,California Department of Public Health,캘리포니아 공중보건부,Sở Y tế Công cộng California,加利福尼亚州公共卫生部,Departamento de Salud Pública de California,,,,,,,,,,
CDC/Oklahoma/state_link,Oklahoma State Department of Health,오클라호마주 보건부,Sở Y tế Tiểu bang Oklahoma,俄克拉荷马州卫生部,Departamento de Salud del Estado de Oklahoma,,,,,,,,,,
CDC/Nebraska/state_link,Nebraska Department of Health and Human Services,네브라스카 보건복지부,Sở Y tế và Dịch vụ Nhân sinh Nebraska,内布拉斯加州卫生与公共服务部,Departamento de Salud y Servicios Humanos de Nebraska,,,,,,,,,,
