String ID,en-us,ko-kr,vi-vn,zh-cn,es-us,de-de,es-es,fi-fi,fr-fr,he-il,it-it,ja-jp,pt-pt,sv-se,th-th
c19.link/scheduling.phone.id,"Scheduling Hotline",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.id.1b,"This includes: Healthcare workers, First responders, K-12 teachers and school staff, and more",,,,,,,,,,,,,,
c19.eligibility.moreinfo/health.are_you_age.id.1c,"Adults of any age with the following conditions are at increased risk of severe illness from the virus that causes COVID-19:

Cancer
Chronic kidney disease
COPD (chronic obstructive pulmonary disease)
Down Syndrome
Heart conditions, such as heart failure, coronary artery disease, or cardiomyopathies
Immunocompromised state (weakened immune system) from solid organ transplant
Obesity (body mass index [BMI] of 30 kg/m2 or higher but < 40 kg/m2)
Severe Obesity (BMI ≥ 40 kg/m2)
Pregnancy
Sickle cell disease
Smoking
Type 2 diabetes mellitus",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.id.1c,"This includes 
- Adult and child protective services
- Blood center workers
- Child welfare workers
- Clergy
- Community food, housing, and relief services (includes Social Security Administration staff who are unable to telework and are serving vulnerable populations)
- Coroners, medical examiners, mortuary and funeral services personnel
- Correctional and detention facility staff (other than medical)
- Dentists, dental hygienists and dental assistants
- Emergency medical services
- First responders (firefighters/police) and safety (protective services/community support)
- Home care providers for adults ≥ 65  years of age, or for other adults/children with high-risk medical conditions (includes staff of certified family homes but does not include adult family members who provide in-home personal care for adults 65 years of age and older or for other adults or children with high-risk medical conditions)
- Hospital staff essential for care of COVID-19 patients and maintaining hospital capacity (includes support staff, clinical staff, and medical imaging professionals)
- Idaho Fish and Game and USDA law enforcement officers
- Idaho National Guard medical staff
- Interpreters (ASL or other language) and janitorial and cleaning staff should be vaccinated with the sector and setting in which they work
- Long-term care facility residents and staff (includes staff of adult day care facilities and intermediate care facilities for individuals with intellectual disabilities)
- Optometrists
- Outpatient clinic staff essential for care of COVID-19 patients and maintaining hospital capacity (includes vaccine administrators and behavioral health workers, including counselors for substance abuse treatment centers and suicide prevention hotline workers)
- Outpatient and inpatient medical staff (not included above) who are unable to telework
- Pharmacists, pharmacy technicians, and pharmacy aids
- Pre-K–12 school staff and teachers and daycare (childcare) workers
- Psychiatric residential treatment facility staff
- Public health and emergency management response workers who are unable to telework (includes Idaho National - Guard deployed to support public health response, state and local public health COVID-19 responders who are unable to telework)
- Radiation therapists
- Residential schools/facilities providing behavioral health treatment
- School nurses
- Food and agriculture workers (including food processing workers)
- USDA processing plant inspectors
- Grocery, convenience store, and food pantry workers
- Idaho National Guard if not included earlier
- Manufacturing, public transit, and U.S. Postal Service workers
- Flight crews
- Subset of essential gas, electric, water, and telecommunications utility workers, who work indoors",,,,,,,,,,,,,,
c19.link/scheduling.phone.ada,"208-321-2222",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.ada,"(M-F 8:30 am to 4:30 pm)",,,,,,,,,,,,,,
c19.link/scheduling.phone.adams,"208-455-5411",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.adams,"(M-F 8:30 am to 4:30 pm)",,,,,,,,,,,,,,
c19.link/scheduling.phone.bannock,"208-234-5875",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.bannock,"(M-F 9:00 am to 4:00 pm)",,,,,,,,,,,,,,
c19.link/scheduling.phone.bear_lake,"208-234-5875",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.bear_lake,"(M-F 9:00 am to 4:00 pm)",,,,,,,,,,,,,,
c19.link/scheduling.phone.bingham,"208-234-5875",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.bingham,"(M-F 9:00 am to 4:00 pm)",,,,,,,,,,,,,,
c19.link/scheduling.phone.blaine,"208-737-1138",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.blaine,"(M-F 8:00 am to 5:00 pm)",,,,,,,,,,,,,,
c19.link/scheduling.phone.boise,"208-321-2222",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.boise,"(M-F 8:30 am to 4:30 pm)",,,,,,,,,,,,,,
c19.link/scheduling.phone.butte,"208-234-5875",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.butte,"(M-F 9:00 am to 4:00 pm)",,,,,,,,,,,,,,
c19.link/scheduling.phone.camas,"208-737-1138",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.camas,"(M-F 8:00 am to 5:00 pm)",,,,,,,,,,,,,,
c19.link/scheduling.phone.canyon,"208-455-5411",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.canyon,"(M-F 8:30 am to 4:30 pm)",,,,,,,,,,,,,,
