String ID,en-us,ko-kr,vi-vn,zh-cn,es-us,de-de,es-es,fi-fi,fr-fr,he-il,it-it,ja-jp,pt-pt,sv-se,th-th
c19.eligibility.question/health.1a.dc.inpatient_psychiatric,"Are you an inpatient psychiatric patient?",,,,"¿Eres un paciente psiquiátrico hospitalizado?",,,,,,,,,,
c19.eligibility.question/congregate.dc,"Do you live in an intermediate care facility, a group home, or another high-risk congregate setting?",,,,"¿Vive en un centro de atención intermedia, en una casa de grupo u otro entorno congregado de alto riesgo?",,,,,,,,,,
c19.link/scheduling.phone.dc,"1-855-363-0333",,,,"1-855-363-0333",,,,,,,,,,
c19.link/scheduling.phone.description.dc,"COVID-19 Call Center",,,,"Centro de llamadas COVID-19",,,,,,,,,,
c19.eligibility.moreinfo/health.dc.1b," * Asthma, Chronic Obstructive Pulmonary Disease (COPD), and other Chronic Lung Disease
 * Bone Marrow and Solid Organ Transplantation
 * Cancer
 * Cerebrovascular Disease
 * Chronic Kidney Disease
 * Congenital Heart Disease
 * Diabetes Mellitus
 * Heart Conditions, such as Heart Failure, Coronary Artery Disease, or Cardiomyopathies
 * HIV
 * Hypertension
 * Immunocompromised State
 * Inherited Metabolic Disorders
 * Intellectual and Developmental Disabilities
 * Liver Disease
 * Neurologic Conditions
 * Obesity, BMI - 30 kg/m2
 * Pregnancy
 * Severe Genetic Disorders
 * Sickle Cell Disease
 * Thalassemia",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.dc.1b,"This includes:
- Members of the Metropolitan Police Department
- Department of Corrections Employees
- Continuity of Government Operations personnel
- All teachers and staff who work for a school or licensed child care facility in DC
- Grocery Store workers
- Outreach workers and other essential employees who work in health, human, and social services
- Individuals working in manufacturing
- Individuals working in food packaging
- Staff working in courts and individuals providing legal services
- Frontline employees of public (mass) transit
- Employees of the US Postal Service
- Staff working in food service
- Essential employees in local government agencies
- Essential employees of public utilities
- Individuals working in commercial and residential property maintenance and environmental services",,,,,,,,,,,,,,
c19.eligibility.moreinfo/congregate.dc.dc.1b,"This also includes individuals in in-patient psychiatric care facilities and those who are currently incarcerated. ",,,,,,,,,,,,,,
c19.eligibility.moreinfo/long_term_care_resident.dc.1c_tier_2,"This includes residents of long-term and intermediate care facilities and residents of community residential facilities/group homes",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.dc.1c_tier_2,"This includes:
- Members of the Metropolitan Police Department
- Department of Corrections Employees
- Continuity of Government Operations personnel
- All teachers and staff who work for a school or licensed child care facility in DC
- Grocery Store workers
- Outreach workers and other essential employees who work in health, human, and social services
- Individuals working in manufacturing
- Individuals working in food packaging
- Staff working in courts and individuals providing legal services
- Frontline employees of public (mass) transit
- Employees of the US Postal Service
- Staff working in food service
- Essential employees in local government agencies
- Essential employees of public utilities
- Individuals working in commercial and residential property maintenance and environmental services
- Individuals working in non-public transit transportation services (i.e. for hire vehicles, ride share)
- Individuals working in logistics/delivery/courier services
- Essential employees working in media and mass communications",,,,,,,,,,,,,,
c19.eligibility.moreinfo/congregate.dc.dc.1c_tier_2,"This also includes individuals in in-patient psychiatric care facilities and those who are currently incarcerated. ",,,,,,,,,,,,,,
c19.eligibility.moreinfo/health.dc.1c_tier_2," * Asthma, Chronic Obstructive Pulmonary Disease (COPD), and other Chronic Lung Disease
 * Bone Marrow and Solid Organ Transplantation
 * Cancer
 * Cerebrovascular Disease
 * Chronic Kidney Disease
 * Congenital Heart Disease
 * Diabetes Mellitus
 * Heart Conditions, such as Heart Failure, Coronary Artery Disease, or Cardiomyopathies
 * HIV
 * Hypertension
 * Immunocompromised State
 * Inherited Metabolic Disorders
 * Intellectual and Developmental Disabilities
 * Liver Disease
 * Neurologic Conditions
 * Obesity, BMI - 30 kg/m2
 * Pregnancy
 * Severe Genetic Disorders
 * Sickle Cell Disease
 * Thalassemia",,,,,,,,,,,,,,
