String ID,en-us,ko-kr,vi-vn,zh-cn,es-us,de-de,es-es,fi-fi,fr-fr,he-il,it-it,ja-jp,pt-pt,sv-se,th-th
c19.entry/prompt,How can I help you?,,,,,,,,,,,,,,
c19.entry/options,"[""Am I eligible to receive the COVID-19 vaccine?"", ""Is the COVID-19 vaccine safe for me?"", ""Where can I get vaccinated?"", ""How vaccinated is my community?""]",,,,,,,,,,,,,,
c19.entry/welcome,Welcome to the Microsoft COVID-19 Bot. This bot is in active development.,,,,,,,,,,,,,,
c19.entry/unknown_question,I'm not sure how to help you with that. Please try one of the prepared questions.,,,,,,,,,,,,,,
c19.eligibility/state_phase_message,`It looks like ${scenario.selectedState.name} is in phase ${scenario.selectedStatePhase}; let's see if you're eligible.`,,,,,,,,,,,,,,
c19.eligibility/state_option,"[""Alabama"",""Alaska"",""American Samoa"",""Arizona"",""Arkansas"",""California"",""Colorado"",""Connecticut"",""Delaware"",""District of Columbia"",""Federated States of Micronesia"",""Florida"",""Georgia"",""Guam"",""Hawaii"",""Idaho"",""Illinois"",""Indiana"",""Iowa"",""Kansas"",""Kentucky"",""Louisiana"",""Maine"",""Marshall Islands"",""Maryland"",""Massachusetts"",""Michigan"",""Minnesota"",""Mississippi"",""Missouri"",""Montana"",""Nebraska"",""Nevada"",""New Hampshire"",""New Jersey"",""New Mexico"",""New York"",""North Carolina"",""North Dakota"",""Northern Mariana Islands"",""Ohio"",""Oklahoma"",""Oregon"",""Palau"",""Pennsylvania"",""Puerto Rico"",""Rhode Island"",""South Carolina"",""South Dakota"",""Tennessee"",""Texas"",""Utah"",""Vermont"",""Virgin Island"",""Virginia"",""Washington"",""West Virginia"",""Wisconsin"",""Wyoming""]",,,,,,,,,,,,,,
c19.eligibility/state_prompt,What state do you reside in?,,,,,,,,,,,,,,
c19.eligibility/eligible_message,"It looks like you are eligible for the COVID-19 vaccine, according to your state's guidelines.",,,,,,,,,,,,,,
c19.eligibility/ineligible_message,"According to your state's guidelines, you are not yet eligible for the COVID-19 vaccine.",,,,,,,,,,,,,,
c19.eligibility.acip/js.phaseAugmentQuestion,scenario.phaseAugmentQuestion,,,,,,,,,,,,,,
